instance,config,mu,lambda,tournament_k,seed,eval_budget,max_generations,fitness_evaluations,iterations,best_cost,gap_percent,hit_optimum,elapsed_seconds
berlin52,(1+1),1,1,3,0,80000,79999,80000,79999,7769,3.0098117210289046,False,1.612422227859497
berlin52,(1+1),1,1,3,1,80000,79999,80000,79999,8545,13.298859718907451,False,1.5443460941314697
berlin52,(1+1),1,1,3,2,80000,79999,80000,79999,8184,8.512330946698489,False,1.5467970371246338
berlin52,(1+1),1,1,3,3,80000,79999,80000,79999,7964,5.595332802970034,False,1.55047607421875
berlin52,(1+1),1,1,3,4,80000,79999,80000,79999,8410,11.5088835852559,False,1.5357601642608643
berlin52,(1+1),1,1,3,5,80000,79999,80000,79999,8380,11.11111111111111,False,1.5370471477508545
berlin52,(1+1),1,1,3,6,80000,79999,80000,79999,8593,13.935295677539115,False,1.5496888160705566
berlin52,(1+1),1,1,3,7,80000,79999,80000,79999,8204,8.777512596128348,False,1.5545191764831543
berlin52,(1+1),1,1,3,8,80000,79999,80000,79999,8649,14.677804295942721,False,1.5478191375732422
berlin52,(1+1),1,1,3,9,80000,79999,80000,79999,8721,15.632458233890215,False,1.5505049228668213
berlin52,(1+1),1,1,3,10,80000,79999,80000,79999,8612,14.187218244497481,False,1.5486457347869873
berlin52,(1+1),1,1,3,11,80000,79999,80000,79999,8198,8.69795810129939,False,1.5473449230194092
berlin52,(1+1),1,1,3,12,80000,79999,80000,79999,8269,9.63935295677539,False,1.544044017791748
berlin52,(1+1),1,1,3,13,80000,79999,80000,79999,8116,7.610713338636967,False,1.5485963821411133
berlin52,(1+1),1,1,3,14,80000,79999,80000,79999,8033,6.51020949350305,False,1.5614147186279297
berlin52,(1+1),1,1,3,15,80000,79999,80000,79999,8125,7.730045080880403,False,1.550997018814087
berlin52,(1+1),1,1,3,16,80000,79999,80000,79999,8653,14.730840625828693,False,1.54420804977417
berlin52,(1+1),1,1,3,17,80000,79999,80000,79999,7992,5.966587112171838,False,1.5464389324188232
berlin52,(1+1),1,1,3,18,80000,79999,80000,79999,8421,11.654733492442324,False,1.5414447784423828
berlin52,(1+1),1,1,3,19,80000,79999,80000,79999,8142,7.955449482895784,False,1.5392110347747803
berlin52,(5+20),5,20,3,0,80000,3999,79985,3999,8195,8.658180853884911,False,1.3252179622650146
berlin52,(5+20),5,20,3,1,80000,3999,79985,3999,8416,11.588438080084858,False,1.3134663105010986
berlin52,(5+20),5,20,3,2,80000,3999,79985,3999,7793,3.328029700344736,False,1.3201992511749268
berlin52,(5+20),5,20,3,3,80000,3999,79985,3999,8787,16.50755767700875,False,1.3212406635284424
berlin52,(5+20),5,20,3,4,80000,3999,79985,3999,8269,9.63935295677539,False,1.319817066192627
berlin52,(5+20),5,20,3,5,80000,3999,79985,3999,8369,10.965261203924689,False,1.3186640739440918
berlin52,(5+20),5,20,3,6,80000,3999,79985,3999,8102,7.425086184036064,False,1.318937063217163
berlin52,(5+20),5,20,3,7,80000,3999,79985,3999,8232,9.14876690533015,False,1.3350961208343506
berlin52,(5+20),5,20,3,8,80000,3999,79985,3999,8426,11.721028904799788,False,1.3347272872924805
berlin52,(5+20),5,20,3,9,80000,3999,79985,3999,8246,9.334394059931054,False,1.3276658058166504
berlin52,(5+20),5,20,3,10,80000,3999,79985,3999,8209,8.843808008485812,False,1.324051856994629
berlin52,(5+20),5,20,3,11,80000,3999,79985,3999,8113,7.570936091222487,False,1.3238780498504639
berlin52,(5+20),5,20,3,12,80000,3999,79985,3999,8429,11.760806152214267,False,1.3279311656951904
berlin52,(5+20),5,20,3,13,80000,3999,79985,3999,7985,5.873773534871387,False,1.3303608894348145
berlin52,(5+20),5,20,3,14,80000,3999,79985,3999,8015,6.271546009016177,False,1.3290081024169922
berlin52,(5+20),5,20,3,15,80000,3999,79985,3999,7898,4.720233359851498,False,1.3252038955688477
berlin52,(5+20),5,20,3,16,80000,3999,79985,3999,8248,9.360912224874038,False,1.3260538578033447
berlin52,(5+20),5,20,3,17,80000,3999,79985,3999,8117,7.6239724211084585,False,1.3243730068206787
berlin52,(5+20),5,20,3,18,80000,3999,79985,3999,8013,6.24502784407319,False,1.3265578746795654
berlin52,(5+20),5,20,3,19,80000,3999,79985,3999,8433,11.813842482100238,False,1.3591721057891846
berlin52,(10+40),10,40,3,0,80000,1999,79970,1999,8491,12.582869265446831,False,1.3615131378173828
berlin52,(10+40),10,40,3,1,80000,1999,79970,1999,7943,5.316892071068683,False,1.3148348331451416
berlin52,(10+40),10,40,3,2,80000,1999,79970,1999,8438,11.880137894457704,False,1.3227269649505615
berlin52,(10+40),10,40,3,3,80000,1999,79970,1999,8029,6.457173163617077,False,1.3201370239257812
berlin52,(10+40),10,40,3,4,80000,1999,79970,1999,8458,12.145319543887563,False,1.3185338973999023
berlin52,(10+40),10,40,3,5,80000,1999,79970,1999,8116,7.610713338636967,False,1.3152329921722412
berlin52,(10+40),10,40,3,6,80000,1999,79970,1999,8873,17.647838769557147,False,1.3192439079284668
berlin52,(10+40),10,40,3,7,80000,1999,79970,1999,8361,10.859188544152746,False,1.3086841106414795
berlin52,(10+40),10,40,3,8,80000,1999,79970,1999,8462,12.198355873773535,False,1.316241979598999
berlin52,(10+40),10,40,3,9,80000,1999,79970,1999,8059,6.854945637761867,False,1.3154938220977783
berlin52,(10+40),10,40,3,10,80000,1999,79970,1999,8111,7.5444179262795,False,1.331840991973877
berlin52,(10+40),10,40,3,11,80000,1999,79970,1999,8377,11.071333863696632,False,1.317094087600708
berlin52,(10+40),10,40,3,12,80000,1999,79970,1999,8138,7.902413153009811,False,1.3213441371917725
berlin52,(10+40),10,40,3,13,80000,1999,79970,1999,8071,7.014054627419783,False,1.3172991275787354
berlin52,(10+40),10,40,3,14,80000,1999,79970,1999,7736,2.5722619994696365,False,1.326340913772583
berlin52,(10+40),10,40,3,15,80000,1999,79970,1999,8549,13.351896048793424,False,1.3186728954315186
berlin52,(10+40),10,40,3,16,80000,1999,79970,1999,8201,8.73773534871387,False,1.3204329013824463
berlin52,(10+40),10,40,3,17,80000,1999,79970,1999,7870,4.348979050649695,False,1.322443962097168
berlin52,(10+40),10,40,3,18,80000,1999,79970,1999,7810,3.5534341023601166,False,1.346890926361084
berlin52,(10+40),10,40,3,19,80000,1999,79970,1999,8220,8.989657915672236,False,1.326035976409912
berlin52,(20+80),20,80,3,0,80000,999,79940,999,8010,6.205250596658711,False,1.3262300491333008
berlin52,(20+80),20,80,3,1,80000,999,79940,999,7998,6.046141607000796,False,1.3193631172180176
berlin52,(20+80),20,80,3,2,80000,999,79940,999,7983,5.847255369928401,False,1.3172857761383057
berlin52,(20+80),20,80,3,3,80000,999,79940,999,8142,7.955449482895784,False,1.3175199031829834
berlin52,(20+80),20,80,3,4,80000,999,79940,999,8163,8.233890214797137,False,1.321451187133789
berlin52,(20+80),20,80,3,5,80000,999,79940,999,8265,9.58631662688942,False,1.3173577785491943
