problem,problem_type,n,instance,algorithm,config_label,seed,rho,archive_size,num_ants,q0,alpha,beta,max_iterations,fitness_evaluations,iterations,final_fitness,reached_optimum,best_cost,gap_percent,elapsed_seconds
onemax,bitstring,100,,P-ACO,"K=10, ants=30, q0=0.9",0,,10,30,0.9,,,50000,540,17,100,True,,,0.006608009338378906
onemax,bitstring,100,,P-ACO,"K=10, ants=30, q0=0.9",1,,10,30,0.9,,,50000,540,17,100,True,,,0.006523847579956055
onemax,bitstring,100,,P-ACO,"K=10, ants=30, q0=0.9",2,,10,30,0.9,,,50000,540,17,100,True,,,0.006747722625732422
onemax,bitstring,100,,P-ACO,"K=10, ants=30, q0=0.9",3,,10,30,0.9,,,50000,540,17,100,True,,,0.006809711456298828
onemax,bitstring,100,,P-ACO,"K=10, ants=30, q0=0.9",4,,10,30,0.9,,,50000,570,18,100,True,,,0.007260322570800781
onemax,bitstring,100,,P-ACO,"K=20, ants=30, q0=0.7",0,,20,30,0.7,,,50000,120,3,100,True,,,0.0015690326690673828
onemax,bitstring,100,,P-ACO,"K=20, ants=30, q0=0.7",1,,20,30,0.7,,,50000,120,3,100,True,,,0.0014977455139160156
onemax,bitstring,100,,P-ACO,"K=20, ants=30, q0=0.7",2,,20,30,0.7,,,50000,150,4,100,True,,,0.002003908157348633
onemax,bitstring,100,,P-ACO,"K=20, ants=30, q0=0.7",3,,20,30,0.7,,,50000,120,3,100,True,,,0.001598358154296875
onemax,bitstring,100,,P-ACO,"K=20, ants=30, q0=0.7",4,,20,30,0.7,,,50000,150,4,100,True,,,0.002044200897216797
onemax,bitstring,100,,P-ACO,"K=20, ants=30, q0=0.9",0,,20,30,0.9,,,50000,450,14,100,True,,,0.005673885345458984
onemax,bitstring,100,,P-ACO,"K=20, ants=30, q0=0.9",1,,20,30,0.9,,,50000,390,12,100,True,,,0.00493311882019043
onemax,bitstring,100,,P-ACO,"K=20, ants=30, q0=0.9",2,,20,30,0.9,,,50000,450,14,100,True,,,0.005352973937988281
onemax,bitstring,100,,P-ACO,"K=20, ants=30, q0=0.9",3,,20,30,0.9,,,50000,390,12,100,True,,,0.0051898956298828125
onemax,bitstring,100,,P-ACO,"K=20, ants=30, q0=0.9",4,,20,30,0.9,,,50000,570,18,100,True,,,0.007148027420043945
onemax,bitstring,300,,MMAS,"rho=0.05, ants=10",0,0.05,,10,,,,50000,7600,759,300,True,,,0.18644285202026367
onemax,bitstring,300,,MMAS,"rho=0.05, ants=10",1,0.05,,10,,,,50000,8260,825,300,True,,,0.20016980171203613
onemax,bitstring,300,,MMAS,"rho=0.05, ants=10",2,0.05,,10,,,,50000,7490,748,300,True,,,0.18960928916931152
onemax,bitstring,300,,MMAS,"rho=0.05, ants=10",3,0.05,,10,,,,50000,8700,869,300,True,,,0.21266412734985352
onemax,bitstring,300,,MMAS,"rho=0.05, ants=10",4,0.05,,10,,,,50000,8100,809,300,True,,,0.21779203414916992
onemax,bitstring,300,,MMAS,"rho=0.1, ants=10",0,0.1,,10,,,,50000,6550,654,300,True,,,0.16121387481689453
