problem,crossover,generation,fitness_evaluations,mean_fitness,std_fitness,min_fitness,max_fitness,bit_length,trials
onemax,single_point,73,1830,99.96,0.19595917942265423,99.0,100.0,100,50
onemax,single_point,74,1855,99.98,0.14,99.0,100.0,100,50
onemax,single_point,75,1880,99.98,0.14,99.0,100.0,100,50
onemax,single_point,76,1905,99.98,0.14,99.0,100.0,100,50
onemax,single_point,77,1930,99.98,0.14,99.0,100.0,100,50
onemax,single_point,78,1955,100.0,0.0,100.0,100.0,100,50
onemax,two_point,0,5,55.12,3.32048189273786,48.0,63.0,100,50
onemax,two_point,1,30,58.14,3.340718485595576,51.0,67.0,100,50
onemax,two_point,2,55,60.64,3.3571416413371655,52.0,70.0,100,50
onemax,two_point,3,80,62.66,3.3203011911572116,54.0,72.0,100,50
onemax,two_point,4,105,64.78,3.3423943513595162,56.0,74.0,100,50
onemax,two_point,5,130,66.62,3.1930549635106504,58.0,76.0,100,50
onemax,two_point,6,155,68.34,3.1598101208775184,60.0,77.0,100,50
onemax,two_point,7,180,70.14,3.2311607821338755,61.0,80.0,100,50
onemax,two_point,8,205,71.64,3.0903721458749915,64.0,81.0,100,50
onemax,two_point,9,230,73.26,3.0252933742035664,65.0,82.0,100,50
onemax,two_point,10,255,74.94,2.8733952042836015,70.0,83.0,100,50
onemax,two_point,11,280,76.44,2.8786107760515316,70.0,84.0,100,50
onemax,two_point,12,305,77.78,2.722425389243937,72.0,85.0,100,50
onemax,two_point,13,330,79.08,2.711752201068527,73.0,86.0,100,50
onemax,two_point,14,355,80.34,2.5503725218093143,74.0,87.0,100,50
onemax,two_point,15,380,81.46,2.64733828590152,75.0,87.0,100,50
onemax,two_point,16,405,82.8,2.5455844122715714,76.0,88.0,100,50
onemax,two_point,17,430,84.04,2.4327761919255955,78.0,89.0,100,50
onemax,two_point,18,455,85.02,2.2670685918163125,79.0,90.0,100,50
onemax,two_point,19,480,85.9,2.351595203260969,80.0,91.0,100,50
onemax,two_point,20,505,86.88,2.1784398086704164,82.0,91.0,100,50
onemax,two_point,21,530,87.72,2.24535075210979,82.0,92.0,100,50
onemax,two_point,22,555,88.66,2.1504418150696383,84.0,93.0,100,50
onemax,two_point,23,580,89.42,2.079326814139615,85.0,94.0,100,50
onemax,two_point,24,605,90.24,2.093418257300724,85.0,96.0,100,50
onemax,two_point,25,630,91.0,1.98997487421324,86.0,96.0,100,50
onemax,two_point,26,655,91.7,2.0420577856662137,87.0,97.0,100,50
onemax,two_point,27,680,92.42,1.7898603297464302,88.0,97.0,100,50
onemax,two_point,28,705,93.0,1.833030277982336,88.0,97.0,100,50
onemax,two_point,29,730,93.58,1.6503332996700997,89.0,97.0,100,50
onemax,two_point,30,755,94.12,1.6448708155961673,89.0,97.0,100,50
onemax,two_point,31,780,94.5,1.6031219541881396,90.0,98.0,100,50
onemax,two_point,32,805,94.88,1.6569852141766386,91.0,98.0,100,50
onemax,two_point,33,830,95.32,1.6666133324799728,91.0,98.0,100,50
onemax,two_point,34,855,95.66,1.692453839843202,91.0,99.0,100,50
onemax,two_point,35,880,96.02,1.5425952158618927,92.0,99.0,100,50
onemax,two_point,36,905,96.3,1.5132745950421558,92.0,99.0,100,50
onemax,two_point,37,930,96.62,1.4545102268461367,93.0,99.0,100,50
onemax,two_point,38,955,96.92,1.3392535234226564,94.0,99.0,100,50
onemax,two_point,39,980,97.2,1.3564659966250536,95.0,99.0,100,50
onemax,two_point,40,1005,97.52,1.2998461447417535,95.0,100.0,100,50
onemax,two_point,41,1030,97.8,1.2649110640673518,95.0,100.0,100,50
onemax,two_point,42,1055,97.96,1.1306635220082055,95.0,100.0,100,50
onemax,two_point,43,1080,98.1,1.02469507659596,96.0,100.0,100,50
onemax,two_point,44,1105,98.28,1.0007996802557442,96.0,100.0,100,50
onemax,two_point,45,1130,98.48,0.9217374897442331,96.0,100.0,100,50
onemax,two_point,46,1155,98.6,0.916515138991168,96.0,100.0,100,50
onemax,two_point,47,1180,98.76,0.8845337754998392,97.0,100.0,100,50
onemax,two_point,48,1205,98.92,0.844748483277715,97.0,100.0,100,50
onemax,two_point,49,1230,99.02,0.8121576201698781,97.0,100.0,100,50
onemax,two_point,50,1255,99.16,0.7578918128598566,97.0,100.0,100,50
onemax,two_point,51,1280,99.18,0.7665507158694721,97.0,100.0,100,50
onemax,two_point,52,1305,99.24,0.7631513611335564,97.0,100.0,100,50
onemax,two_point,53,1330,99.28,0.7493997598078078,97.0,100.0,100,50
onemax,two_point,54,1355,99.36,0.7418894796396563,97.0,100.0,100,50
onemax,two_point,55,1380,99.36,0.7418894796396563,97.0,100.0,100,50
onemax,two_point,56,1405,99.44,0.6681317235396026,98.0,100.0,100,50
onemax,two_point,57,1430,99.46,0.6390618123468184,98.0,100.0,100,50
onemax,two_point,58,1455,99.48,0.6079473661428266,98.0,100.0,100,50
onemax,two_point,59,1480,99.54,0.6069596362197408,98.0,100.0,100,50
onemax,two_point,60,1505,99.6,0.6,98.0,100.0,100,50
onemax,two_point,61,1530,99.62,0.596322060635023,98.0,100.0,100,50
onemax,two_point,62,1555,99.66,0.5517245689653489,98.0,100.0,100,50
onemax,two_point,63,1580,99.7,0.458257569495584,99.0,100.0,100,50
onemax,two_point,64,1605,99.7,0.458257569495584,99.0,100.0,100,50
onemax,two_point,65,1630,99.72,0.448998886412873,99.0,100.0,100,50
onemax,two_point,66,1655,99.74,0.4386342439892262,99.0,100.0,100,50
onemax,two_point,67,1680,99.76,0.4270831300812525,99.0,100.0,100,50
onemax,two_point,68,1705,99.82,0.3841874542459709,99.0,100.0,100,50
