problem,crossover,bit_length,mu,lambda,seed,fitness_evaluations,iterations,final_fitness,reached_optimum,elapsed_seconds
leadingones,three_point,100,5,25,39,10605,424,100,True,0.09923386573791504
leadingones,three_point,100,5,25,40,9080,363,100,True,0.08513808250427246
leadingones,three_point,100,5,25,41,13630,545,100,True,0.1274418830871582
leadingones,three_point,100,5,25,42,9780,391,100,True,0.09006476402282715
leadingones,three_point,100,5,25,43,7005,280,100,True,0.06420207023620605
leadingones,three_point,100,5,25,44,11230,449,100,True,0.10630416870117188
leadingones,three_point,100,5,25,45,9505,380,100,True,0.08921194076538086
leadingones,three_point,100,5,25,46,9680,387,100,True,0.08960700035095215
leadingones,three_point,100,5,25,47,7330,293,100,True,0.06881189346313477
leadingones,three_point,100,5,25,48,7105,284,100,True,0.06608891487121582
leadingones,three_point,100,5,25,49,8030,321,100,True,0.07583427429199219
leadingones,four_point,100,5,25,0,10430,417,100,True,0.09991884231567383
leadingones,four_point,100,5,25,1,8905,356,100,True,0.08440494537353516
leadingones,four_point,100,5,25,2,8930,357,100,True,0.08627581596374512
leadingones,four_point,100,5,25,3,6380,255,100,True,0.06082582473754883
leadingones,four_point,100,5,25,4,9955,398,100,True,0.09749412536621094
leadingones,four_point,100,5,25,5,9980,399,100,True,0.09628605842590332
leadingones,four_point,100,5,25,6,7705,308,100,True,0.0739438533782959
leadingones,four_point,100,5,25,7,11705,468,100,True,0.1124420166015625
leadingones,four_point,100,5,25,8,9655,386,100,True,0.09165287017822266
leadingones,four_point,100,5,25,9,10305,412,100,True,0.10265111923217773
leadingones,four_point,100,5,25,10,9880,395,100,True,0.1029200553894043
leadingones,four_point,100,5,25,11,8355,334,100,True,0.08446884155273438
leadingones,four_point,100,5,25,12,9030,361,100,True,0.09317398071289062
leadingones,four_point,100,5,25,13,13705,548,100,True,0.14208292961120605
leadingones,four_point,100,5,25,14,11830,473,100,True,0.11828207969665527
leadingones,four_point,100,5,25,15,9305,372,100,True,0.0949242115020752
leadingones,four_point,100,5,25,16,8430,337,100,True,0.08151078224182129
leadingones,four_point,100,5,25,17,8655,346,100,True,0.08241415023803711
leadingones,four_point,100,5,25,18,9305,372,100,True,0.08872294425964355
leadingones,four_point,100,5,25,19,9130,365,100,True,0.08610701560974121
leadingones,four_point,100,5,25,20,10530,421,100,True,0.10017514228820801
leadingones,four_point,100,5,25,21,8780,351,100,True,0.08474111557006836
leadingones,four_point,100,5,25,22,13655,546,100,True,0.12785792350769043
leadingones,four_point,100,5,25,23,10530,421,100,True,0.10027170181274414
leadingones,four_point,100,5,25,24,10630,425,100,True,0.10125899314880371
leadingones,four_point,100,5,25,25,8355,334,100,True,0.0805518627166748
leadingones,four_point,100,5,25,26,8755,350,100,True,0.08436203002929688
leadingones,four_point,100,5,25,27,9405,376,100,True,0.08993411064147949
leadingones,four_point,100,5,25,28,8230,329,100,True,0.07818078994750977
leadingones,four_point,100,5,25,29,10130,405,100,True,0.09672784805297852
leadingones,four_point,100,5,25,30,7730,309,100,True,0.0732879638671875
leadingones,four_point,100,5,25,31,11705,468,100,True,0.11284375190734863
leadingones,four_point,100,5,25,32,8555,342,100,True,0.08135700225830078
leadingones,four_point,100,5,25,33,12755,510,100,True,0.12281394004821777
leadingones,four_point,100,5,25,34,8680,347,100,True,0.0834648609161377
leadingones,four_point,100,5,25,35,9380,375,100,True,0.0898752212524414
leadingones,four_point,100,5,25,36,8430,337,100,True,0.07997918128967285
leadingones,four_point,100,5,25,37,6680,267,100,True,0.06322193145751953
leadingones,four_point,100,5,25,38,9005,360,100,True,0.08671998977661133
leadingones,four_point,100,5,25,39,10305,412,100,True,0.10210776329040527
leadingones,four_point,100,5,25,40,8155,326,100,True,0.08039498329162598
leadingones,four_point,100,5,25,41,11405,456,100,True,0.11211395263671875
leadingones,four_point,100,5,25,42,9005,360,100,True,0.08723998069763184
leadingones,four_point,100,5,25,43,9455,378,100,True,0.0903010368347168
leadingones,four_point,100,5,25,44,11230,449,100,True,0.10981488227844238
leadingones,four_point,100,5,25,45,8155,326,100,True,0.07910609245300293
leadingones,four_point,100,5,25,46,6980,279,100,True,0.06754875183105469
leadingones,four_point,100,5,25,47,7530,301,100,True,0.0742189884185791
leadingones,four_point,100,5,25,48,10155,406,100,True,0.09965109825134277
leadingones,four_point,100,5,25,49,9180,367,100,True,0.08992385864257812
leadingones,uniform,100,5,25,0,7755,310,100,True,0.09462904930114746
leadingones,uniform,100,5,25,1,9405,376,100,True,0.11315107345581055
leadingones,uniform,100,5,25,2,8680,347,100,True,0.10558485984802246
leadingones,uniform,100,5,25,3,9580,383,100,True,0.11870479583740234
leadingones,uniform,100,5,25,4,9105,364,100,True,0.11038374900817871
leadingones,uniform,100,5,25,5,9630,385,100,True,0.11826515197753906
leadingones,uniform,100,5,25,6,11755,470,100,True,0.14426088333129883
leadingones,uniform,100,5,25,7,9755,390,100,True,0.11872410774230957
leadingones,uniform,100,5,25,8,8805,352,100,True,0.10871291160583496
leadingones,uniform,100,5,25,9,10430,417,100,True,0.12694907188415527
leadingones,uniform,100,5,25,10,9455,378,100,True,0.11689496040344238
leadingones,uniform,100,5,25,11,11230,449,100,True,0.13883590698242188
leadingones,uniform,100,5,25,12,10605,424,100,True,0.13062095642089844
leadingones,uniform,100,5,25,13,9455,378,100,True,0.11690497398376465
leadingones,uniform,100,5,25,14,8255,330,100,True,0.10062003135681152
leadingones,uniform,100,5,25,15,10705,428,100,True,0.1316680908203125
leadingones,uniform,100,5,25,16,13505,540,100,True,0.1661980152130127
leadingones,uniform,100,5,25,17,9605,384,100,True,0.11740493774414062
leadingones,uniform,100,5,25,18,8530,341,100,True,0.10403895378112793
leadingones,uniform,100,5,25,19,9305,372,100,True,0.11365795135498047
leadingones,uniform,100,5,25,20,10230,409,100,True,0.12401390075683594
leadingones,uniform,100,5,25,21,7180,287,100,True,0.08758711814880371
leadingones,uniform,100,5,25,22,10930,437,100,True,0.13291001319885254
leadingones,uniform,100,5,25,23,8005,320,100,True,0.09609818458557129
leadingones,uniform,100,5,25,24,9330,373,100,True,0.11069703102111816
leadingones,uniform,100,5,25,25,8255,330,100,True,0.09947371482849121
leadingones,uniform,100,5,25,26,10705,428,100,True,0.13026690483093262
leadingones,uniform,100,5,25,27,8130,325,100,True,0.10220599174499512
leadingones,uniform,100,5,25,28,7655,306,100,True,0.1151878833770752
leadingones,uniform,100,5,25,29,12005,480,100,True,0.14690113067626953
leadingones,uniform,100,5,25,30,9205,368,100,True,0.11031508445739746
leadingones,uniform,100,5,25,31,8405,336,100,True,0.10286402702331543
leadingones,uniform,100,5,25,32,8830,353,100,True,0.10832500457763672
leadingones,uniform,100,5,25,33,11980,479,100,True,0.1465141773223877
leadingones,uniform,100,5,25,34,8605,344,100,True,0.10503411293029785
leadingones,uniform,100,5,25,35,8380,335,100,True,0.1004037857055664
leadingones,uniform,100,5,25,36,12405,496,100,True,0.15195894241333008
leadingones,uniform,100,5,25,37,8605,344,100,True,0.10595321655273438
leadingones,uniform,100,5,25,38,9830,393,100,True,0.12063479423522949
leadingones,uniform,100,5,25,39,7230,289,100,True,0.08821582794189453
leadingones,uniform,100,5,25,40,7830,313,100,True,0.09583902359008789
leadingones,uniform,100,5,25,41,10680,427,100,True,0.13091588020324707
leadingones,uniform,100,5,25,42,9030,361,100,True,0.11068391799926758
leadingones,uniform,100,5,25,43,7980,319,100,True,0.09663510322570801
leadingones,uniform,100,5,25,44,10930,437,100,True,0.13566303253173828
leadingones,uniform,100,5,25,45,10030,401,100,True,0.12319588661193848
leadingones,uniform,100,5,25,46,10855,434,100,True,0.13241910934448242
leadingones,uniform,100,5,25,47,8305,332,100,True,0.1012411117553711
leadingones,uniform,100,5,25,48,7705,308,100,True,0.0948629379272461
leadingones,uniform,100,5,25,49,12505,500,100,True,0.15018773078918457
