problem,crossover,bit_length,mu,lambda,seed,fitness_evaluations,iterations,final_fitness,reached_optimum,elapsed_seconds
onemax,two_point,100,5,25,30,1105,44,100,True,0.011011123657226562
onemax,two_point,100,5,25,31,1530,61,100,True,0.01555490493774414
onemax,two_point,100,5,25,32,1180,47,100,True,0.011750221252441406
onemax,two_point,100,5,25,33,1755,70,100,True,0.017718076705932617
onemax,two_point,100,5,25,34,1305,52,100,True,0.013331174850463867
onemax,two_point,100,5,25,35,2205,88,100,True,0.02222609519958496
onemax,two_point,100,5,25,36,1355,54,100,True,0.013732194900512695
onemax,two_point,100,5,25,37,1030,41,100,True,0.010509252548217773
onemax,two_point,100,5,25,38,1255,50,100,True,0.012829065322875977
onemax,two_point,100,5,25,39,1805,72,100,True,0.018157005310058594
onemax,two_point,100,5,25,40,1480,59,100,True,0.015108108520507812
onemax,two_point,100,5,25,41,1130,45,100,True,0.011570930480957031
onemax,two_point,100,5,25,42,1180,47,100,True,0.012058019638061523
onemax,two_point,100,5,25,43,1655,66,100,True,0.01659703254699707
onemax,two_point,100,5,25,44,1330,53,100,True,0.013550043106079102
onemax,two_point,100,5,25,45,1205,48,100,True,0.01225590705871582
onemax,two_point,100,5,25,46,1480,59,100,True,0.014945030212402344
onemax,two_point,100,5,25,47,1755,70,100,True,0.0177462100982666
onemax,two_point,100,5,25,48,1305,52,100,True,0.013030052185058594
onemax,two_point,100,5,25,49,1555,62,100,True,0.015607118606567383
onemax,three_point,100,5,25,0,1480,59,100,True,0.016133785247802734
onemax,three_point,100,5,25,1,1405,56,100,True,0.01508188247680664
onemax,three_point,100,5,25,2,1530,61,100,True,0.016522884368896484
onemax,three_point,100,5,25,3,1280,51,100,True,0.014230966567993164
onemax,three_point,100,5,25,4,1905,76,100,True,0.02069878578186035
onemax,three_point,100,5,25,5,1205,48,100,True,0.013054847717285156
onemax,three_point,100,5,25,6,1555,62,100,True,0.016761064529418945
onemax,three_point,100,5,25,7,1330,53,100,True,0.014195919036865234
onemax,three_point,100,5,25,8,1305,52,100,True,0.013972997665405273
onemax,three_point,100,5,25,9,1030,41,100,True,0.011054039001464844
onemax,three_point,100,5,25,10,1355,54,100,True,0.014776945114135742
onemax,three_point,100,5,25,11,1155,46,100,True,0.012466907501220703
onemax,three_point,100,5,25,12,1930,77,100,True,0.020565032958984375
onemax,three_point,100,5,25,13,1905,76,100,True,0.02061176300048828
onemax,three_point,100,5,25,14,930,37,100,True,0.009994029998779297
onemax,three_point,100,5,25,15,1255,50,100,True,0.013470888137817383
onemax,three_point,100,5,25,16,1780,71,100,True,0.019148826599121094
onemax,three_point,100,5,25,17,1205,48,100,True,0.013038873672485352
onemax,three_point,100,5,25,18,905,36,100,True,0.009877920150756836
onemax,three_point,100,5,25,19,1330,53,100,True,0.014672994613647461
onemax,three_point,100,5,25,20,1855,74,100,True,0.020303964614868164
onemax,three_point,100,5,25,21,1330,53,100,True,0.014104843139648438
onemax,three_point,100,5,25,22,1680,67,100,True,0.018035888671875
onemax,three_point,100,5,25,23,1205,48,100,True,0.012964010238647461
onemax,three_point,100,5,25,24,1505,60,100,True,0.01631784439086914
onemax,three_point,100,5,25,25,1180,47,100,True,0.012780904769897461
onemax,three_point,100,5,25,26,1130,45,100,True,0.012311697006225586
onemax,three_point,100,5,25,27,1280,51,100,True,0.013761043548583984
onemax,three_point,100,5,25,28,1705,68,100,True,0.018278837203979492
onemax,three_point,100,5,25,29,1305,52,100,True,0.014143943786621094
onemax,three_point,100,5,25,30,1205,48,100,True,0.013056039810180664
