instance,archive_size,num_ants,q0,seed,best_cost,gap_percent,iterations,fitness_evaluations,elapsed_seconds
berlin52,5,10,0.9,0,7542,0.0,2000,20010,4.396131992340088
berlin52,5,10,0.9,1,7547,0.06629541235746486,2000,20010,4.487541675567627
berlin52,5,10,0.9,2,7542,0.0,2000,20010,4.466166019439697
berlin52,5,10,0.9,3,7547,0.06629541235746486,2000,20010,4.407551050186157
berlin52,5,10,0.9,4,7669,1.6839034738796075,2000,20010,4.404818058013916
berlin52,5,10,0.9,5,7547,0.06629541235746486,2000,20010,4.401762962341309
berlin52,5,10,0.9,6,7944,5.330151153540175,2000,20010,4.410912036895752
berlin52,5,10,0.9,7,7848,4.05727923627685,2000,20010,4.3993730545043945
berlin52,5,10,0.9,8,7542,0.0,2000,20010,4.4127490520477295
berlin52,5,10,0.9,9,7547,0.06629541235746486,2000,20010,4.404569149017334
berlin52,10,10,0.9,0,7542,0.0,2000,20010,4.408826112747192
berlin52,10,10,0.9,1,7769,3.0098117210289046,2000,20010,4.513231992721558
berlin52,10,10,0.9,2,7547,0.06629541235746486,2000,20010,4.4058837890625
berlin52,10,10,0.9,3,7542,0.0,2000,20010,4.413231134414673
berlin52,10,10,0.9,4,7599,0.7557677008750995,2000,20010,4.416598796844482
berlin52,10,10,0.9,5,7740,2.6252983293556085,2000,20010,4.430441856384277
berlin52,10,10,0.9,6,7730,2.492707504640679,2000,20010,4.418982982635498
berlin52,10,10,0.9,7,7547,0.06629541235746486,2000,20010,4.4159181118011475
berlin52,10,10,0.9,8,7716,2.307080350039777,2000,20010,4.415140151977539
berlin52,10,10,0.9,9,7814,3.6064704322460885,2000,20010,4.4187891483306885
berlin52,20,10,0.9,0,7663,1.6043489790506498,2000,20010,4.412313222885132
berlin52,20,10,0.9,1,7547,0.06629541235746486,2000,20010,4.434650897979736
berlin52,20,10,0.9,2,7662,1.591089896579157,2000,20010,4.419414043426514
berlin52,20,10,0.9,3,7547,0.06629541235746486,2000,20010,4.413716793060303
berlin52,20,10,0.9,4,7769,3.0098117210289046,2000,20010,4.509713888168335
berlin52,20,10,0.9,5,7730,2.492707504640679,2000,20010,4.464324951171875
berlin52,20,10,0.9,6,8035,6.536727658446035,2000,20010,4.4136011600494385
berlin52,20,10,0.9,7,7542,0.0,2000,20010,4.4436726570129395
berlin52,20,10,0.9,8,7774,3.07610713338637,2000,20010,4.442413091659546
berlin52,20,10,0.9,9,7683,1.869530628480509,2000,20010,4.425907135009766
berlin52,50,10,0.9,0,7720,2.360116679925749,2000,20010,4.410917282104492
berlin52,50,10,0.9,1,7676,1.7767170511800583,2000,20010,4.422635078430176
berlin52,50,10,0.9,2,7662,1.591089896579157,2000,20010,4.42250394821167
berlin52,50,10,0.9,3,7547,0.06629541235746486,2000,20010,4.40442419052124
berlin52,50,10,0.9,4,7985,5.873773534871387,2000,20010,4.408833026885986
berlin52,50,10,0.9,5,7756,2.8374436488994963,2000,20010,4.490631103515625
berlin52,50,10,0.9,6,7949,5.39644656589764,2000,20010,4.47808313369751
berlin52,50,10,0.9,7,7723,2.399893927340228,2000,20010,4.421982049942017
berlin52,50,10,0.9,8,7703,2.134712277910369,2000,20010,4.507631778717041
berlin52,50,10,0.9,9,7641,1.3126491646778042,2000,20010,4.4322569370269775
